time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220626:0710,410.31,32.93,18.44,2.41
20220626:0810,321.68,42.24,18.95,2.62
20220626:0910,360.77,50.91,19.38,1.79
20220626:1010,155.68,58.01,19.99,1.1
20220626:1110,239.93,62.04,20.29,1.03
20220626:1210,141.94,61.55,19.9,1.45
20220626:1310,163.92,56.74,19.57,1.72
20220626:1410,79.67,49.22,19.22,1.79
20220626:1510,130.04,40.36,19.47,1.93
20220626:1610,57.69,30.99,20.05,1.93
20220626:1710,26.56,21.59,20.72,1.93
20220626:1810,57.39,12.53,20.8,1.86
20220626:1910,3.43,4.14,17.79,2.0
20220626:2010,0.0,0.0,17.3,1.86
20220626:2110,0.0,0.0,16.73,1.79
20220626:2210,0.0,0.0,16.34,1.79
20220626:2310,0.0,0.0,16.01,1.79
20220627:0010,0.0,0.0,15.8,2.14
20220627:0110,0.0,0.0,15.69,1.79
20220627:0210,0.0,0.0,15.46,0.69
20220627:0310,0.0,0.0,15.47,1.03
20220627:0410,29.98,5.74,15.35,1.03
20220627:0510,45.79,14.29,15.3,1.31
20220627:0610,27.47,23.45,16.43,1.72
20220627:0710,100.73,32.87,17.5,1.24
20220627:0810,288.22,42.19,17.75,1.17
20220627:0910,114.47,50.85,18.08,0.69
20220627:1010,183.15,57.96,18.8,1.66
20220627:1110,132.78,62.0,19.43,2.07
20220627:1210,292.46,61.52,20.36,2.41
20220627:1310,184.07,56.73,20.83,2.48
20220627:1410,311.02,49.22,21.07,2.55
20220627:1510,95.24,40.37,20.94,2.41
20220627:1610,282.69,30.99,20.12,2.9
20220627:1710,174.76,21.6,18.34,3.59
20220627:1810,26.55,12.54,17.95,2.62
20220627:1910,2.57,4.14,16.45,2.34
20220627:2010,0.0,0.0,15.63,2.0
20220627:2110,0.0,0.0,14.84,1.86
20220627:2210,0.0,0.0,13.84,1.45
20220627:2310,0.0,0.0,13.05,1.38
20220628:0010,0.0,0.0,12.12,1.79
20220628:0110,0.0,0.0,11.68,1.72
20220628:0210,0.0,0.0,11.41,1.59
20220628:0310,0.0,0.0,11.43,1.38
20220628:0410,23.98,5.68,11.52,1.17
20220628:0510,86.81,14.23,12.79,0.83
20220628:0610,0.0,0.0,15.09,0.69
20220628:0710,0.0,0.0,16.61,1.03
20220628:0810,0.0,0.0,17.92,1.1
20220628:0910,847.71,50.79,19.26,0.62
20220628:1010,950.19,57.9,20.41,0.62
20220628:1110,1013.53,61.95,21.4,1.1
20220628:1210,985.15,61.49,22.17,1.24
20220628:1310,924.52,56.72,22.78,1.24
20220628:1410,753.38,49.21,23.17,0.9
20220628:1510,578.72,40.37,23.45,0.97
20220628:1610,391.43,30.99,23.44,1.17
20220628:1710,181.28,21.6,23.37,1.31
20220628:1810,67.66,12.53,22.75,1.38
20220628:1910,11.13,4.13,21.26,1.93
20220628:2010,0.0,0.0,19.66,2.34
20220628:2110,0.0,0.0,18.5,2.41
20220628:2210,0.0,0.0,17.66,2.41
20220628:2310,0.0,0.0,16.96,2.48
20220629:0010,0.0,0.0,16.15,2.28
20220629:0110,0.0,0.0,15.12,1.86
20220629:0210,0.0,0.0,14.59,1.59
20220629:0310,0.0,0.0,13.83,1.72
20220629:0410,28.26,5.61,13.66,1.66
20220629:0510,0.0,0.0,14.97,1.31
20220629:0610,0.0,0.0,17.83,1.24
20220629:0710,0.0,0.0,19.62,1.31
20220629:0810,127.29,42.05,21.47,1.79
20220629:0910,299.02,50.72,22.08,2.07
20220629:1010,586.56,57.83,22.61,1.66
20220629:1110,507.61,61.89,22.83,1.1
20220629:1210,930.9,61.45,22.88,1.1
20220629:1310,923.12,56.7,23.05,1.86
20220629:1410,796.37,49.2,23.79,2.28
20220629:1510,610.95,40.36,24.1,2.07
20220629:1610,354.85,30.99,24.24,1.72
20220629:1710,179.98,21.59,24.13,1.31
20220629:1810,57.39,12.52,23.69,0.9
20220629:1910,19.7,4.12,23.76,1.93
20220629:2010,0.0,0.0,21.32,1.79
20220629:2110,0.0,0.0,19.66,2.07
20220629:2210,0.0,0.0,18.36,2.21
20220629:2310,0.0,0.0,17.44,2.21
20220630:0010,0.0,0.0,16.93,2.41
20220630:0110,0.0,0.0,16.77,2.48
20220630:0210,0.0,0.0,16.53,2.21
20220630:0310,0.0,0.0,15.97,1.93
20220630:0410,29.12,5.54,15.5,1.72
20220630:0510,58.4,14.09,16.72,1.38
20220630:0610,235.63,23.24,19.62,1.17
20220630:0710,446.55,32.67,22.43,0.9
20220630:0810,627.37,41.98,24.08,0.76
20220630:0910,763.83,50.65,25.1,0.28
20220630:1010,815.93,57.76,26.14,0.69
20220630:1110,735.5,61.83,26.33,0.9
20220630:1210,977.94,61.41,26.6,0.48
20220630:1310,911.37,56.67,27.07,0.69
20220630:1410,774.75,49.19,27.19,1.17
20220630:1510,588.45,40.35,27.25,1.03
20220630:1610,236.25,30.98,26.84,1.03
20220630:1710,25.64,21.58,25.08,1.93
20220630:1810,55.67,12.51,22.75,2.55
20220630:1910,2.57,4.1,19.19,3.1
20220630:2010,0.0,0.0,18.28,3.72
20220630:2110,0.0,0.0,17.22,4.48
20220630:2210,0.0,0.0,16.21,3.59
20220630:2310,0.0,0.0,15.52,3.24
20220701:0010,0.0,0.0,14.45,3.86
20220701:0110,0.0,0.0,13.65,3.1
20220701:0210,0.0,0.0,13.16,2.76
20220701:0310,0.0,0.0,13.03,2.34
20220701:0410,11.99,5.46,13.16,1.93
20220701:0510,38.46,14.01,13.41,2.97
20220701:0610,148.58,23.17,14.04,3.79
20220701:0710,188.69,32.59,14.85,3.86
20220701:0810,350.69,41.91,15.57,3.72
20220701:0910,365.83,50.58,16.49,3.38
20220701:1010,876.67,57.69,17.82,3.38
20220701:1110,251.83,61.76,18.89,3.31
20220701:1210,427.33,61.35,19.52,3.38
20220701:1310,572.38,56.63,19.86,3.59
20220701:1410,303.78,49.16,19.79,3.72
20220701:1510,595.96,40.33,19.72,3.72
20220701:1610,392.74,30.96,19.29,3.38
20220701:1710,181.39,21.56,19.24,3.17
20220701:1810,65.95,12.49,18.91,2.55
20220701:1910,19.7,4.07,18.08,1.66
20220701:2010,0.0,0.0,16.59,1.59
20220701:2110,0.0,0.0,14.96,1.72
20220701:2210,0.0,0.0,14.02,1.66
20220701:2310,0.0,0.0,13.71,1.45
20220702:0010,0.0,0.0,12.87,1.52
20220702:0110,0.0,0.0,11.74,1.79
20220702:0210,0.0,0.0,11.13,1.86
20220702:0310,0.0,0.0,10.74,1.93
20220702:0410,25.7,5.38,10.69,2.0
20220702:0510,49.37,13.93,12.43,1.72
20220702:0610,241.42,23.09,15.72,1.79
20220702:0710,459.51,32.51,17.75,1.72
20220702:0810,669.37,41.83,19.44,2.0
20220702:0910,729.31,50.49,20.62,2.21
20220702:1010,919.56,57.61,21.62,2.69
20220702:1110,940.95,61.69,22.66,2.9
20220702:1210,985.82,61.29,23.42,2.76
20220702:1310,926.46,56.59,24.24,3.24
20220702:1410,800.91,49.13,24.76,3.1
20220702:1510,606.09,40.31,24.68,2.48
20220702:1610,400.31,30.94,24.87,2.48
20220702:1710,182.33,21.54,24.7,2.34
20220702:1810,55.67,12.46,23.63,1.17
20220702:1910,18.84,4.04,23.19,0.55
20220702:2010,0.0,0.0,20.58,1.38
20220702:2110,0.0,0.0,19.56,1.17
20220702:2210,0.0,0.0,18.91,1.03
20220702:2310,0.0,0.0,17.92,1.03
20220703:0010,0.0,0.0,18.02,0.76
20220703:0110,0.0,0.0,17.82,0.21
20220703:0210,0.0,0.0,16.46,0.83
20220703:0310,0.0,0.0,15.35,1.03
20220703:0410,26.55,5.29,15.72,0.76
20220703:0510,51.86,13.85,16.41,0.48
20220703:0610,237.25,23.0,18.32,1.03
20220703:0710,451.37,32.42,19.49,1.72
20220703:0810,661.75,41.74,20.57,2.0
20220703:0910,828.18,50.41,21.65,2.21
20220703:1010,905.45,57.52,22.52,2.14
20220703:1110,1015.13,61.61,22.64,2.34
20220703:1210,987.16,61.23,23.26,2.48
20220703:1310,846.48,56.54,22.86,2.9
20220703:1410,722.7,49.1,22.75,3.38
20220703:1510,474.02,40.28,22.64,3.86
20220703:1610,280.79,30.92,22.06,4.07
20220703:1710,132.36,21.51,21.52,4.21
20220703:1810,60.81,12.43,20.63,3.72
20220703:1910,19.7,4.0,19.93,3.93
20220703:2010,0.0,0.0,18.49,3.38
20220703:2110,0.0,0.0,17.65,2.76
20220703:2210,0.0,0.0,16.46,1.93
20220703:2310,0.0,0.0,15.5,1.72
20220704:0010,0.0,0.0,14.45,1.86
20220704:0110,0.0,0.0,13.5,1.86
20220704:0210,0.0,0.0,12.51,1.59
20220704:0310,0.0,0.0,12.19,1.31
20220704:0410,25.7,5.2,12.26,1.1
20220704:0510,50.35,13.76,12.91,0.9
20220704:0610,238.97,22.91,15.26,1.24
20220704:0710,456.71,32.34,17.04,1.79
20220704:0810,663.41,41.65,18.2,1.59
20220704:0910,834.54,50.31,19.35,1.72
20220704:1010,974.73,57.43,20.44,1.86
20220704:1110,999.6,61.52,21.36,1.79
20220704:1210,904.91,61.15,22.2,2.0
20220704:1310,658.88,56.49,22.82,2.21
20220704:1410,682.15,49.06,22.97,2.48
20220704:1510,579.08,40.24,22.92,2.69
20220704:1610,366.88,30.88,22.67,2.83
20220704:1710,183.01,21.48,22.44,2.9
20220704:1810,56.53,12.39,21.83,2.55
20220704:1910,19.7,3.96,20.8,1.93
20220704:2010,0.0,0.0,19.19,1.59
20220704:2110,0.0,0.0,17.72,1.66
20220704:2210,0.0,0.0,17.18,2.21
20220704:2310,0.0,0.0,16.63,2.41
20220705:0010,0.0,0.0,15.69,2.28
20220705:0110,0.0,0.0,15.31,1.93
20220705:0210,0.0,0.0,14.65,1.72
20220705:0310,0.0,0.0,13.98,1.45
20220705:0410,8.57,5.1,13.88,1.17
20220705:0510,78.29,13.66,14.55,1.1
20220705:0610,231.54,22.82,16.32,1.24
20220705:0710,423.21,32.24,17.6,1.17
20220705:0810,596.02,41.56,18.75,1.45
20220705:0910,693.22,50.22,19.89,1.86
20220705:1010,755.18,57.33,20.77,2.34
20220705:1110,800.35,61.42,21.17,2.9
20220705:1210,827.7,61.07,21.79,3.31
20220705:1310,539.34,56.43,22.03,3.66
20220705:1410,687.17,49.01,21.83,3.79
20220705:1510,577.87,40.2,21.34,3.59
20220705:1610,325.12,30.85,20.95,3.38
20220705:1710,86.08,21.44,20.46,3.79
20220705:1810,74.52,12.35,19.62,4.14
20220705:1910,17.99,3.91,18.79,4.34
20220705:2010,0.0,0.0,17.64,4.34
20220705:2110,0.0,0.0,16.63,3.93
20220705:2210,0.0,0.0,15.94,3.59
20220705:2310,0.0,0.0,15.14,3.03
20220706:0010,0.0,0.0,14.57,2.76
20220706:0110,0.0,0.0,13.59,2.55
20220706:0210,0.0,0.0,12.78,2.62
20220706:0310,0.0,0.0,12.31,2.48
20220706:0410,25.7,5.0,12.04,2.14
20220706:0510,58.46,13.56,12.33,2.28
20220706:0610,231.54,22.72,13.24,2.62
20220706:0710,359.71,32.15,14.56,3.31
20220706:0810,327.15,41.46,15.49,3.03
20220706:0910,249.88,50.12,16.2,2.9
20220706:1010,458.16,57.22,16.9,3.1
20220706:1110,763.17,61.32,17.54,3.1
20220706:1210,628.04,60.99,18.23,3.24
20220706:1310,462.04,56.36,18.73,3.17
20220706:1410,645.87,48.96,19.29,3.24
20220706:1510,535.09,40.16,19.84,3.59
20220706:1610,389.1,30.8,19.98,3.59
20220706:1710,183.16,21.39,19.96,3.38
20220706:1810,32.55,12.3,19.91,2.69
20220706:1910,3.43,3.85,18.7,1.38
20220706:2010,0.0,0.0,17.38,0.9
20220706:2110,0.0,0.0,16.87,0.76
20220706:2210,0.0,0.0,15.86,1.38
20220706:2310,0.0,0.0,16.28,2.07
20220707:0010,0.0,0.0,15.94,2.55
20220707:0110,0.0,0.0,15.67,2.48
20220707:0210,0.0,0.0,15.48,2.83
20220707:0310,0.0,0.0,15.63,3.31
20220707:0410,3.43,4.9,15.75,3.66
20220707:0510,21.06,13.46,15.85,4.0
20220707:0610,45.79,22.62,15.83,5.03
20220707:0710,191.51,32.04,15.51,5.03
20220707:0810,276.52,41.35,15.07,5.38
20220707:0910,386.59,50.01,14.93,4.9
20220707:1010,275.67,57.11,15.52,5.66
20220707:1110,126.37,61.21,16.3,5.45
20220707:1210,346.69,60.89,16.87,6.0
20220707:1310,193.22,56.28,17.35,5.66
20220707:1410,108.97,48.9,17.94,6.0
20220707:1510,145.6,40.11,18.5,6.28
20220707:1610,178.02,30.75,18.83,5.93
20220707:1710,171.71,21.34,17.87,5.52
20220707:1810,54.82,12.25,16.82,5.03
20220707:1910,11.99,3.79,15.47,4.55
20220707:2010,0.0,0.0,14.91,4.28
20220707:2110,0.0,0.0,14.64,3.93
20220707:2210,0.0,0.0,14.38,3.72
20220707:2310,0.0,0.0,14.2,3.45
20220708:0010,0.0,0.0,13.92,3.31
20220708:0110,0.0,0.0,13.74,2.97
20220708:0210,0.0,0.0,13.45,2.69
20220708:0310,0.0,0.0,13.25,2.55
20220708:0410,3.43,4.79,12.95,2.48
20220708:0510,46.7,13.35,13.14,2.62
20220708:0610,172.72,22.51,13.69,3.17
20220708:0710,394.25,31.94,14.7,2.69
20220708:0810,491.68,41.25,15.83,2.34
20220708:0910,799.03,49.9,16.68,2.55
20220708:1010,941.45,57.0,17.93,2.9
20220708:1110,958.88,61.1,18.6,3.03
20220708:1210,961.4,60.79,19.58,3.45
20220708:1310,680.76,56.2,19.78,3.38
20220708:1410,631.76,48.83,20.27,3.17
20220708:1510,531.61,40.05,20.51,3.03
20220708:1610,342.59,30.7,20.79,2.9
20220708:1710,182.16,21.29,20.7,2.48
20220708:1810,72.8,12.19,20.54,2.28
20220708:1910,2.57,3.73,19.73,1.59
20220708:2010,0.0,0.0,18.3,1.66
20220708:2110,0.0,0.0,16.75,1.79
20220708:2210,0.0,0.0,15.44,1.72
20220708:2310,0.0,0.0,14.66,1.66
20220709:0010,0.0,0.0,14.66,1.45
20220709:0110,0.0,0.0,14.75,1.24
20220709:0210,0.0,0.0,14.67,1.24
20220709:0310,0.0,0.0,14.47,1.45
20220709:0410,15.42,4.67,14.2,1.66
20220709:0510,68.52,13.24,15.36,1.59
20220709:0610,212.48,22.4,16.89,2.14
20220709:0710,423.98,31.83,18.19,2.21
20220709:0810,601.64,41.14,19.43,2.07
20220709:0910,590.48,49.79,20.79,2.48
20220709:1010,806.83,56.88,21.85,3.17
20220709:1110,705.64,60.98,22.81,4.0
20220709:1210,479.81,60.69,22.57,4.07
20220709:1310,110.81,56.11,22.31,4.48
20220709:1410,66.85,48.76,21.62,4.76
20220709:1510,283.69,39.99,21.32,5.03
20220709:1610,259.23,30.64,21.27,4.9
20220709:1710,173.92,21.23,20.81,4.69
20220709:1810,71.09,12.12,20.12,4.76
20220709:1910,8.57,3.65,19.47,4.28
20220709:2010,0.0,0.0,18.15,4.76
20220709:2110,0.0,0.0,16.84,4.76
20220709:2210,0.0,0.0,15.71,4.21
20220709:2310,0.0,0.0,14.65,3.45
20220710:0010,0.0,0.0,13.87,2.97
20220710:0110,0.0,0.0,13.37,2.83
20220710:0210,0.0,0.0,12.83,2.83
20220710:0310,0.0,0.0,12.21,2.76
20220710:0410,12.85,4.55,11.94,2.69
20220710:0510,75.37,13.12,12.46,2.62
20220710:0610,223.9,22.29,13.55,3.17
20220710:0710,277.36,31.72,14.6,3.59
20220710:0810,215.01,41.02,15.39,3.31
20220710:0910,296.76,49.67,15.77,3.31
20220710:1010,131.87,56.75,16.24,3.79
20220710:1110,190.48,60.86,16.26,3.38
20220710:1210,105.31,60.57,16.93,3.45
20220710:1310,135.53,56.02,17.96,4.0
20220710:1410,233.06,48.68,18.46,3.93
20220710:1510,93.41,39.92,18.77,3.86
20220710:1610,97.99,30.57,18.82,3.86
20220710:1710,80.59,21.16,18.8,3.03
20220710:1810,45.39,12.05,18.67,2.55
20220710:1910,7.71,3.57,17.21,0.97
20220710:2010,0.0,0.0,17.01,0.97
20220710:2110,0.0,0.0,16.77,1.24
20220710:2210,0.0,0.0,16.63,1.45
20220710:2310,0.0,0.0,16.58,1.72
20220711:0010,0.0,0.0,16.42,2.07
20220711:0110,0.0,0.0,15.82,1.93
20220711:0210,0.0,0.0,15.21,1.66
20220711:0310,0.0,0.0,14.58,1.52
20220711:0410,17.13,4.43,14.14,1.45
20220711:0510,17.13,13.01,14.91,1.38
20220711:0610,51.28,22.17,15.48,1.79
20220711:0710,113.55,31.6,16.76,2.9
20220711:0810,139.19,40.91,17.37,2.69
20220711:0910,234.06,49.54,18.32,2.62
20220711:1010,152.93,56.62,19.4,2.48
20220711:1110,169.41,60.72,20.17,2.69
20220711:1210,190.48,60.45,20.71,2.97
20220711:1310,187.73,55.92,21.23,3.1
20220711:1410,211.54,48.6,21.55,3.24
20220711:1510,190.59,39.84,21.62,3.24
20220711:1610,206.56,30.5,21.63,2.76
20220711:1710,174.23,21.09,21.47,2.34
20220711:1810,59.1,11.97,21.18,2.14
20220711:1910,17.13,3.49,19.62,1.1
20220711:2010,0.0,0.0,18.71,0.55
20220711:2110,0.0,0.0,18.62,0.21
20220711:2210,0.0,0.0,17.92,0.28
20220711:2310,0.0,0.0,17.02,0.41
20220712:0010,0.0,0.0,16.23,0.69
20220712:0110,0.0,0.0,14.86,0.97
20220712:0210,0.0,0.0,14.03,1.03
20220712:0310,0.0,0.0,13.11,1.24
20220712:0410,21.41,4.3,12.69,1.17
20220712:0510,77.94,12.88,14.34,0.48
20220712:0610,227.89,22.05,16.74,0.48
20220712:0710,416.56,31.48,18.73,0.48
20220712:0810,631.9,40.78,20.21,0.83
20220712:0910,816.35,49.42,21.69,1.1
20220712:1010,962.94,56.49,23.01,0.97
20220712:1110,1024.82,60.59,24.27,0.83
20220712:1210,1005.49,60.33,25.4,0.62
20220712:1310,894.85,55.81,26.29,0.9
20220712:1410,723.03,48.51,26.92,1.17
20220712:1510,490.41,39.76,27.26,1.45
20220712:1610,277.43,30.42,26.99,1.66
20220712:1710,156.54,21.01,26.19,1.1
20220712:1810,31.69,11.88,25.34,0.55
20220712:1910,11.99,3.39,23.69,0.97
20220712:2010,0.0,0.0,21.9,1.24
20220712:2110,0.0,0.0,22.36,0.83
20220712:2210,0.0,0.0,19.75,1.38
20220712:2310,0.0,0.0,18.89,1.59
20220713:0010,0.0,0.0,18.46,1.66
20220713:0110,0.0,0.0,18.08,1.79
20220713:0210,0.0,0.0,17.75,1.79
20220713:0310,0.0,0.0,17.71,2.21
20220713:0410,18.84,4.17,18.22,2.21
20220713:0510,39.4,12.76,18.84,2.0
20220713:0610,93.41,21.93,19.85,1.93
20220713:0710,230.75,31.36,23.07,2.21
20220713:0810,180.4,40.66,25.15,3.66
20220713:0910,601.98,49.28,25.56,4.55
20220713:1010,345.78,56.35,25.78,3.79
20220713:1110,665.3,60.44,26.84,3.66
20220713:1210,744.28,60.19,28.4,4.21
20220713:1310,732.59,55.7,29.04,4.76
20220713:1410,634.61,48.41,29.37,5.72
20220713:1510,264.52,39.67,28.82,5.52
20220713:1610,268.09,30.34,27.66,4.69
20220713:1710,163.91,20.92,26.59,4.41
20220713:1810,53.1,11.79,25.04,4.07
20220713:1910,14.56,3.3,24.17,3.31
20220713:2010,0.0,0.0,22.77,2.9
20220713:2110,0.0,0.0,21.61,2.76
20220713:2210,0.0,0.0,20.53,2.28
20220713:2310,0.0,0.0,19.79,1.93
20220714:0010,0.0,0.0,19.14,1.86
20220714:0110,0.0,0.0,18.58,1.72
20220714:0210,0.0,0.0,18.03,1.93
20220714:0310,0.0,0.0,17.4,2.21
20220714:0410,2.57,4.04,16.75,2.14
20220714:0510,24.84,12.63,16.66,2.14
20220714:0610,172.6,21.8,17.3,1.86
20220714:0710,238.35,31.23,18.67,2.28
20220714:0810,264.48,40.53,19.69,2.62
20220714:0910,503.88,49.15,20.83,2.76
20220714:1010,554.9,56.2,21.86,3.31
20220714:1110,924.67,60.29,22.84,3.86
20220714:1210,978.36,60.05,23.23,4.41
20220714:1310,820.72,55.58,23.43,4.41
20220714:1410,571.0,48.31,23.27,4.48
20220714:1510,203.68,39.58,22.72,4.55
20220714:1610,324.22,30.25,22.19,4.48
20220714:1710,178.74,20.83,22.0,4.28
20220714:1810,59.1,11.7,21.62,3.79
20220714:1910,4.28,3.19,20.43,3.59
20220714:2010,0.0,0.0,19.37,3.31
20220714:2110,0.0,0.0,18.7,3.38
20220714:2210,0.0,0.0,17.89,3.38
20220714:2310,0.0,0.0,17.11,3.24
20220715:0010,0.0,0.0,15.94,2.9
20220715:0110,0.0,0.0,15.01,2.69
20220715:0210,0.0,0.0,14.25,2.55
20220715:0310,0.0,0.0,13.76,2.41
20220715:0410,2.57,3.9,13.53,2.28
20220715:0510,25.7,12.49,13.67,2.41
20220715:0610,204.48,21.67,14.44,2.76
20220715:0710,411.74,31.1,15.15,2.07
20220715:0810,542.59,40.39,16.54,2.07
20220715:0910,525.28,49.01,17.32,2.34
20220715:1010,573.04,56.05,17.96,2.48
20220715:1110,639.02,60.14,18.77,2.48
20220715:1210,806.92,59.91,19.65,2.62
20220715:1310,564.91,55.45,20.57,3.03
20220715:1410,540.08,48.2,20.87,3.45
20220715:1510,452.27,39.48,20.85,3.72
20220715:1610,307.37,30.15,20.62,3.72
20220715:1710,180.5,20.73,20.2,3.45
20220715:1810,60.81,11.6,19.96,3.03
20220715:1910,12.85,3.08,18.93,1.79
20220715:2010,0.0,0.0,17.33,1.17
20220715:2110,0.0,0.0,15.75,1.45
20220715:2210,0.0,0.0,14.33,1.86
20220715:2310,0.0,0.0,13.52,1.93
20220716:0010,0.0,0.0,13.06,1.93
20220716:0110,0.0,0.0,12.89,1.93
20220716:0210,0.0,0.0,13.27,2.07
20220716:0310,0.0,0.0,14.16,2.28
20220716:0410,6.0,3.76,15.0,2.48
20220716:0510,58.24,12.35,15.67,2.28
20220716:0610,117.85,21.54,17.12,3.03
20220716:0710,198.22,30.97,17.32,2.83
20220716:0810,518.31,40.26,18.67,3.52
20220716:0910,382.89,48.86,19.45,3.79
20220716:1010,596.69,55.9,20.49,3.93
20220716:1110,690.77,59.98,20.78,3.93
20220716:1210,766.26,59.75,22.07,4.21
20220716:1310,760.21,55.32,22.38,4.28
20220716:1410,731.13,48.08,22.62,4.28
20220716:1510,621.39,39.38,22.61,4.21
20220716:1610,390.94,30.05,22.37,4.0
20220716:1710,181.85,20.63,21.88,3.72
20220716:1810,53.1,11.49,21.12,3.45
20220716:1910,12.85,2.97,19.82,2.62
20220716:2010,0.0,0.0,18.26,2.41
20220716:2110,0.0,0.0,16.97,2.21
20220716:2210,0.0,0.0,15.72,2.0
20220716:2310,0.0,0.0,14.38,1.93
20220717:0010,0.0,0.0,13.1,1.72
20220717:0110,0.0,0.0,12.44,1.52
20220717:0210,0.0,0.0,12.03,1.38
20220717:0310,0.0,0.0,12.59,1.03
20220717:0410,17.13,3.61,12.81,0.69
20220717:0510,57.39,12.21,13.13,0.48
20220717:0610,224.41,21.4,15.03,0.69
20220717:0710,435.18,30.83,17.96,1.38
20220717:0810,646.04,40.12,19.73,0.69
20220717:0910,824.4,48.72,21.15,0.41
20220717:1010,961.14,55.74,22.5,0.97
20220717:1110,987.2,59.81,23.71,1.31
20220717:1210,931.82,59.6,24.75,1.79
20220717:1310,923.57,55.18,25.42,2.07
20220717:1410,790.88,47.96,25.93,1.93
20220717:1510,621.96,39.27,26.18,1.79
20220717:1610,382.39,29.95,26.11,1.93
20220717:1710,182.18,20.52,25.7,2.0
20220717:1810,67.66,11.38,24.94,2.0
20220717:1910,11.13,2.84,23.57,1.79
20220717:2010,0.0,0.0,21.49,2.0
20220717:2110,0.0,0.0,19.61,1.86
20220717:2210,0.0,0.0,18.55,1.66
20220717:2310,0.0,0.0,18.24,1.45
20220718:0010,0.0,0.0,17.56,1.45
20220718:0110,0.0,0.0,15.85,1.93
20220718:0210,0.0,0.0,15.3,2.07
20220718:0310,0.0,0.0,15.11,1.79
20220718:0410,14.56,3.46,14.48,2.0
20220718:0510,62.53,12.07,15.77,1.86
20220718:0610,212.4,21.26,20.06,1.93
20220718:0710,419.08,30.69,22.73,2.76
20220718:0810,639.0,39.97,25.34,2.83
20220718:0910,799.75,48.56,27.52,2.41
20220718:1010,946.11,55.58,29.18,2.07
20220718:1110,989.74,59.64,30.54,1.79
20220718:1210,963.11,59.43,31.58,1.79
20220718:1310,924.64,55.04,32.29,1.86
20220718:1410,787.19,47.83,32.72,1.93
20220718:1510,605.85,39.15,32.88,1.79
20220718:1610,386.89,29.83,32.76,1.72
20220718:1710,179.36,20.41,32.22,1.79
20220718:1810,54.82,11.26,30.91,1.86
20220718:1910,11.13,2.72,28.59,1.59
20220718:2010,0.0,0.0,25.94,1.93
20220718:2110,0.0,0.0,23.94,1.79
20220718:2210,0.0,0.0,23.26,1.45
20220718:2310,0.0,0.0,21.78,1.52
20220719:0010,0.0,0.0,20.39,1.66
20220719:0110,0.0,0.0,18.86,1.86
20220719:0210,0.0,0.0,17.89,2.0
20220719:0310,0.0,0.0,17.3,2.14
20220719:0410,12.85,3.3,17.15,2.34
20220719:0510,65.95,11.92,18.41,2.28
20220719:0610,217.02,21.12,22.36,2.0
20220719:0710,426.92,30.55,27.03,2.48
20220719:0810,638.37,39.83,29.6,3.1
20220719:0910,814.94,48.41,31.82,3.52
20220719:1010,951.72,55.41,33.4,3.59
20220719:1110,1008.51,59.46,34.48,3.52
20220719:1210,1014.14,59.26,35.29,3.59
20220719:1310,946.99,54.88,35.78,3.72
20220719:1410,796.93,47.7,36.03,3.86
20220719:1510,609.48,39.02,36.01,4.07
20220719:1610,393.08,29.71,35.74,4.21
20220719:1710,179.7,20.29,35.18,4.28
20220719:1810,53.1,11.13,34.06,3.38
20220719:1910,9.42,2.58,31.86,2.9
20220719:2010,0.0,0.0,29.64,3.1
20220719:2110,0.0,0.0,28.24,3.31
20220719:2210,0.0,0.0,27.34,3.45
20220719:2310,0.0,0.0,26.7,3.66
20220720:0010,0.0,0.0,26.22,3.66
20220720:0110,0.0,0.0,25.75,3.66
20220720:0210,0.0,0.0,25.28,3.52
20220720:0310,0.0,0.0,24.73,3.24
20220720:0410,10.28,3.15,23.57,2.28
20220720:0510,65.09,11.77,22.49,1.66
20220720:0610,208.52,20.97,25.22,1.17
20220720:0710,379.25,30.4,26.02,3.1
20220720:0810,322.69,39.68,26.54,4.55
20220720:0910,732.54,48.25,27.2,5.17
20220720:1010,837.56,55.23,27.92,4.97
20220720:1110,986.52,59.28,28.58,4.41
20220720:1210,985.03,59.08,29.36,3.86
20220720:1310,401.98,54.73,29.86,3.45
20220720:1410,696.94,47.56,29.81,3.03
20220720:1510,348.78,38.9,29.64,2.55
20220720:1610,313.04,29.59,29.86,1.79
20220720:1710,161.26,20.16,29.69,1.86
20220720:1810,12.85,11.0,29.01,2.34
20220720:1910,9.42,2.44,24.37,4.0
20220720:2010,0.0,0.0,23.31,3.59
20220720:2110,0.0,0.0,22.56,2.9
20220720:2210,0.0,0.0,21.78,2.14
20220720:2310,0.0,0.0,20.71,2.28
20220721:0010,0.0,0.0,19.45,2.48
20220721:0110,0.0,0.0,18.55,2.0
20220721:0210,0.0,0.0,18.09,1.59
20220721:0310,0.0,0.0,18.24,1.45
20220721:0410,1.71,2.98,18.14,1.38
20220721:0510,11.13,11.62,18.46,1.45
20220721:0610,54.03,20.82,19.03,2.55
20220721:0710,344.81,30.25,19.16,2.62
20220721:0810,564.18,39.52,20.59,3.1
20220721:0910,413.02,48.09,21.97,3.79
20220721:1010,589.9,55.06,22.39,4.83
20220721:1110,345.04,59.09,22.19,4.34
