time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220106:1610,0.0,0.0,2.82,2.14
20220106:1710,0.0,0.0,1.93,2.21
20220106:1810,0.0,0.0,1.12,2.34
20220106:1910,0.0,0.0,0.53,2.34
20220106:2010,0.0,0.0,0.24,2.55
20220106:2110,0.0,0.0,0.58,2.9
20220106:2210,0.0,0.0,0.8,3.24
20220106:2310,0.0,0.0,1.29,3.52
20220107:0010,0.0,0.0,1.67,3.79
20220107:0110,0.0,0.0,1.95,3.93
20220107:0210,0.0,0.0,2.28,4.07
20220107:0310,0.0,0.0,2.37,4.21
20220107:0410,0.0,0.0,2.4,4.28
20220107:0510,0.0,0.0,2.05,4.28
20220107:0610,0.0,0.0,1.9,4.28
20220107:0710,0.0,0.0,2.01,4.07
20220107:0810,7.33,3.7,2.15,3.86
20220107:0910,40.29,9.84,2.58,3.93
20220107:1010,32.97,14.2,2.93,4.07
20220107:1110,222.62,16.44,3.49,3.52
20220107:1210,35.71,16.33,4.52,3.59
20220107:1310,118.8,13.89,4.94,3.31
20220107:1410,43.04,9.34,5.11,4.62
20220107:1510,145.42,3.07,4.61,4.07
20220107:1610,0.0,0.0,3.91,3.45
20220107:1710,0.0,0.0,3.34,3.38
20220107:1810,0.0,0.0,2.66,3.1
20220107:1910,0.0,0.0,2.24,2.48
20220107:2010,0.0,0.0,2.33,2.14
20220107:2110,0.0,0.0,2.37,2.07
20220107:2210,0.0,0.0,2.17,2.14
20220107:2310,0.0,0.0,1.77,2.14
20220108:0010,0.0,0.0,1.4,1.86
20220108:0110,0.0,0.0,1.3,1.86
20220108:0210,0.0,0.0,0.88,2.07
20220108:0310,0.0,0.0,0.47,2.28
20220108:0410,0.0,0.0,0.26,2.62
20220108:0510,0.0,0.0,0.21,2.83
20220108:0610,0.0,0.0,0.41,2.69
20220108:0710,0.0,0.0,-0.55,2.28
20220108:0810,103.43,3.77,-0.64,2.48
20220108:0910,331.09,9.92,0.45,2.48
20220108:1010,158.64,14.3,1.43,2.83
20220108:1110,241.74,16.56,2.38,4.41
20220108:1210,324.21,16.47,3.05,4.97
20220108:1310,109.17,14.04,3.26,4.55
20220108:1410,41.21,9.5,3.06,5.17
20220108:1510,21.26,3.23,2.61,5.45
20220108:1610,0.0,0.0,2.7,5.66
20220108:1710,0.0,0.0,3.22,5.72
20220108:1810,0.0,0.0,3.64,5.72
20220108:1910,0.0,0.0,3.02,5.52
20220108:2010,0.0,0.0,3.33,5.72
20220108:2110,0.0,0.0,3.66,5.93
20220108:2210,0.0,0.0,3.89,6.14
20220108:2310,0.0,0.0,3.83,5.93
20220109:0010,0.0,0.0,3.78,5.45
20220109:0110,0.0,0.0,4.15,4.28
20220109:0210,0.0,0.0,4.49,5.52
20220109:0310,0.0,0.0,4.19,7.45
20220109:0410,0.0,0.0,4.3,7.38
20220109:0510,0.0,0.0,4.3,6.9
