cluster,probability,month,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.163,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2969726782087,174.9830690473193,496.4332398347333,152.50940820663772,100.78806740666856,105.72447312369644,98.70664814210478,64.02376869567262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.141,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.32244661054565,144.3737250473636,175.8131461660205,151.33166857234175,125.9159760981649,512.2678655274905,115.35081240034081,47.27466928576199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.688471218768456,127.32541953606582,192.15054623485247,174.5658337597054,631.3118411355347,171.8949253713345,106.82782133532848,74.611714480181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.441,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.26768192801869,148.42238073649793,98.01014906920052,130.23655796521246,107.88883251867684,76.69258492122952,113.41760424543644,59.23265113576978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.132,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.01155887585395,151.39230538165074,169.62398135560537,655.1774759858042,122.79126783698698,151.35821139893162,99.96310670344589,66.95132195187612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.245,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89959478004774,183.70350210192981,295.11123203590284,386.85141240448473,132.1592386074528,811.4451854181533,369.8949669753804,335.3184365192713,209.56380441786337,57.11780016495579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.251,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.831075156492695,184.69387777554257,318.3812733826758,365.84003721130813,128.02970566111725,144.75954435973713,102.55660167525195,322.9271993278129,198.56916255581572,52.166905833566005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.176,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.46066648447818,170.01611614368846,323.4823666716769,306.0062293550624,134.2079434230574,159.5502210534583,746.3538208810426,344.24135974217637,182.2364052609275,55.82868640111732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.202,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.348560653105988,182.96002180196126,303.2815910036552,382.7598098704764,834.7252445361507,125.09466241612529,325.17066002163847,337.70921909671915,196.5641252380232,46.2663660643062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.126,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1088698547672,154.01837733222203,322.9676229582771,321.61750430623505,822.4108448564218,803.1492355282243,403.58036702122536,329.64888384676726,179.00129761755517,58.26090492176007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.212,3,0.0,0.0,0.0,0.0,0.0,0.0,25.773108687445802,168.09366423998082,338.38746305084663,433.8179663433193,528.3704870705207,205.52364907722125,971.1489984295163,507.7864839386494,419.6648773365618,313.98573430589266,162.06305212613762,16.98289765877516,0.0,0.0,0.0,0.0,0.0,0.0
1,0.257,3,0.0,0.0,0.0,0.0,0.0,0.0,25.77049900034509,165.18398385661976,347.50056025132176,445.44860353848765,534.3856868276672,920.010848139334,243.9557987200069,485.12943435628677,467.48327747527765,314.3147198780804,167.56434253378856,17.11054624318456,0.0,0.0,0.0,0.0,0.0,0.0
2,0.263,3,0.0,0.0,0.0,0.0,0.0,0.0,24.205309297661177,155.60383699795295,333.21757884160655,469.8841879612594,537.3566718925636,901.9196533721748,943.431389988505,507.91652243992326,454.5092623262171,318.7421008294898,172.03872008482392,14.295466761604452,0.0,0.0,0.0,0.0,0.0,0.0
3,0.133,3,0.0,0.0,0.0,0.0,0.0,0.0,29.390570540635114,166.5391603274445,342.11849810149425,472.1811978923434,203.13664120329167,220.6979611128947,259.21911272055473,521.6803043036957,467.2206314600276,292.936238611944,179.36483862406138,11.80643966190968,0.0,0.0,0.0,0.0,0.0,0.0
4,0.135,3,0.0,0.0,0.0,0.0,0.0,0.0,25.141069518949447,157.669855563976,327.8911856405837,443.81719878216643,856.3670807746789,231.8945565685292,263.7464873145792,520.0689599960157,429.0493731915068,347.4623960112657,168.18337815755547,15.518744931512447,0.0,0.0,0.0,0.0,0.0,0.0
0,0.204,4,0.0,0.0,0.0,0.0,0.0,14.381706561404847,107.86380640321647,258.9445565208089,430.62787958257326,491.96153225464445,663.4493608794326,353.4981878138393,971.5087268240065,547.4554405483361,438.29584046408513,323.2311496925257,205.01634392139053,81.88848978673535,3.4515893011264143,0.0,0.0,0.0,0.0,0.0
1,0.244,4,0.0,0.0,0.0,0.0,0.0,14.475929697513852,110.21343714694318,261.2438158792885,445.920591058869,472.47183739095493,839.4813483248606,945.2285405831881,482.2647515055599,495.5472662842874,463.072827172928,311.08131300212483,211.30079879546867,76.90522956595579,4.015204349544161,0.0,0.0,0.0,0.0,0.0
2,0.191,4,0.0,0.0,0.0,0.0,0.0,12.284714790233902,109.01587636982838,250.57442051773722,429.8821200419068,517.8375415127678,238.15631728540944,914.1507366360828,722.6750716480863,442.6097446771193,450.8469679141688,322.6509572140167,210.8515871241374,76.70454446154565,3.6720927185533445,0.0,0.0,0.0,0.0,0.0
3,0.167,4,0.0,0.0,0.0,0.0,0.0,13.08556209598687,113.9596796913048,261.5496312559064,407.00484538026586,520.0181809711138,206.46882816462949,332.90491956649004,429.14751743194165,463.7590204037813,376.09043360981366,281.3421751381561,213.27486404234313,74.65959908275879,3.9067923795826003,0.0,0.0,0.0,0.0,0.0
4,0.194,4,0.0,0.0,0.0,0.0,0.0,14.861889738251516,120.48034591429698,255.99278985099718,410.0289743414363,544.1595934852071,814.9140140310647,313.2940243876463,355.6882329011867,608.0437316816895,425.78559641881594,303.87610079480544,197.62150411771964,73.86225807582545,3.9222082686504813,0.0,0.0,0.0,0.0,0.0
0,0.195,5,0.0,0.0,0.0,0.0,6.130710340141609,54.72376172412261,185.56342629213034,319.7542718585646,514.4005186571565,712.1318052280521,755.8573562762607,326.81993306630557,875.8588907173795,682.7859950376259,496.29158666598136,403.95522691738125,250.79919073622628,120.01326791540153,39.121600067639896,0.18855623874506222,0.0,0.0,0.0,0.0
1,0.223,5,0.0,0.0,0.0,0.0,6.909998166329301,54.88322875822199,192.09162758802614,331.580526526195,492.600896398922,746.315391898298,733.5196959341143,931.9661200457813,848.6879754994352,861.8934657841819,454.8917132638437,385.17921761940715,239.2408543275357,119.58589431747427,37.40547199573162,0.2228434254919061,0.0,0.0,0.0,0.0
2,0.133,5,0.0,0.0,0.0,0.0,7.65539746060681,53.58319217169455,197.4109966044024,336.9860410289815,503.7365597220336,257.97890576544495,755.2363866080959,930.2116290344757,686.8443998489355,651.53957487296,558.4455173953414,418.81901216812594,250.32501961573425,123.37077766344618,36.25398430988977,0.16698038781030936,0.0,0.0,0.0,0.0
3,0.189,5,0.0,0.0,0.0,0.0,6.6732447896175415,57.22632192645445,185.37194131375645,328.65380894727696,491.82985930783457,741.4200100571222,791.756796755029,867.7833126060364,887.2554088283525,320.89074860589255,578.204764015692,415.0590938213295,255.7445893843165,120.32587593210634,37.28184584037726,0.2558695202685,0.0,0.0,0.0,0.0
4,0.26,5,0.0,0.0,0.0,0.0,7.323571115673305,55.8285977173923,185.10487763916052,324.0142294403281,505.84617059268874,702.288696227856,742.9742690807385,649.5916416871694,284.7871158986707,659.6224054597451,531.5837628979067,389.29755078426837,248.52047992087256,121.52528746699453,35.65372090192823,0.261676824827024,0.0,0.0,0.0,0.0
0,0.368,6,0.0,0.0,0.0,0.0,22.259341681574078,62.810917291729,201.37339371577656,346.61710664491653,558.6395103997696,648.9415633602275,702.4437333554743,955.1598972368423,924.81013374827,843.6216546012131,576.5485347270057,472.02681554051816,300.36006364771947,145.07462155859844,52.422677711131655,11.855767323795819,0.0,0.0,0.0,0.0
1,0.198,6,0.0,0.0,0.0,0.0,23.178356348967863,58.13007797788129,198.61885332345088,361.884459845786,536.8450944404758,626.2318150845069,705.2140537314021,943.7364933549372,348.0620677549982,740.7472129681846,606.8494681724502,454.264384434876,303.1165474250948,144.4526081924341,53.73265667326923,11.809443972117341,0.0,0.0,0.0,0.0
2,0.079,6,0.0,0.0,0.0,0.0,22.599301464744105,63.77204414765863,190.50833489188017,318.86968911238847,550.4980599877308,600.2365065731263,732.639793488413,247.49823935258365,810.9083562740497,307.3656588547357,607.8507457054849,483.12852561964934,305.48561798461293,143.30957970775566,55.6403548495657,12.431224071150908,0.0,0.0,0.0,0.0
3,0.201,6,0.0,0.0,0.0,0.0,23.00731562015326,64.5260148535436,199.4488375615627,357.2115547911768,528.7330659183173,683.2525790948907,716.4980478635078,229.95551664319748,784.8625259729625,845.6562722118495,622.4789208997498,477.1738849846057,303.90521175447867,150.69683975234233,55.077664625172844,11.255261005073416,0.0,0.0,0.0,0.0
4,0.154,6,0.0,0.0,0.0,0.0,22.116481530062703,59.346507554376444,192.01274135259806,347.45801577147137,489.16998926405427,698.0510421674192,666.9829122386683,958.2961383752854,887.2082249173094,287.1784472197199,579.299524771555,463.45161622382153,286.2943994667664,147.585992625842,55.01287716097476,10.823947874753655,0.0,0.0,0.0,0.0
0,0.229,7,0.0,0.0,0.0,0.0,9.398031017367819,46.999329155096625,152.1510339920296,277.68496541090485,432.442371163106,566.4145718953038,567.0145600526789,632.558175437562,187.1278845908579,558.4062462180833,483.8597342442538,401.3194227372034,273.6074933827614,141.09136754019022,49.42080852729676,8.739531206619375,0.0,0.0,0.0,0.0
1,0.141,7,0.0,0.0,0.0,0.0,9.808978751681895,44.93598469634555,154.2519731311848,279.67125964624665,440.1966581278267,569.6649236041924,252.34561029425743,352.816227405414,774.6504386818967,651.8385379167761,536.5326214175966,431.17235254055953,259.2790230572205,142.37562952754095,50.731035989041544,8.493192406235613,0.0,0.0,0.0,0.0
2,0.192,7,0.0,0.0,0.0,0.0,8.576506115848588,48.21711275874092,156.7517483698516,295.9814167534877,440.99092830190835,516.0156732402831,765.7765786836635,224.85115144025167,722.3759782083297,576.3587718655416,538.5343827545959,389.78616730379645,288.2321072462432,149.35781180907446,51.10593110704818,8.077865686023914,0.0,0.0,0.0,0.0
