scenario_id,global_radiation,probability
1,1.9784907337484583,0.59
2,78.48353378981938,0.11
3,184.63404171953724,0.083
4,329.55664158801636,0.052000000000000005
5,443.15890352185386,0.029
6,568.6158960466502,0.032
7,700.6118669158134,0.035
8,784.1213734176175,0.029
9,903.9124985933786,0.024
10,1012.5339579314727,0.016
