cluster,probability,month,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.167,1,49.11405675007275,35.44984372520956,38.14008050022593,31.609184923276118,29.364187919793512,33.24195864398568,57.49940004141236,94.73905728852647,110.74241733963362,101.51369044890991,88.34797476962426,97.77550458212934,81.28912464746581,136.19465441048942,67.23237454406576,67.11738222953134,74.33948858155064,82.57830526767594,135.17856525819397,168.01442582431363,145.7547792694453,218.94501528597402,93.95548809934385,64.43230385893314
1,0.146,1,46.67533768298768,34.10294697376868,34.84564580215999,31.586226279654177,29.393203220811326,36.057569020959924,54.039095762943155,110.01460286225051,114.53667508145786,97.81986424720195,91.22927165798598,99.86596489241667,195.02709939557624,109.90098118182401,82.63183591028195,70.43559169213358,74.19153895396107,130.1808899274428,115.37198389315934,133.10489849283354,159.20981007862116,120.58436018910189,102.83141035398793,63.631283452475685
2,0.227,1,49.96291002818505,35.657852336983304,32.186861452053144,31.837395197362806,31.525334364420313,34.852059899110046,59.30193511840878,107.37632931743521,107.92453572636127,93.99794571665588,90.93478883801973,98.91384650242533,75.92731883239463,71.25276801163938,95.50133736741415,80.07777369282302,74.54197702680379,95.10615120968897,95.19669789282162,200.0356727296194,109.20663747330366,120.49273153442846,97.91741028004476,64.17117745619888
3,0.258,1,59.28873085610249,41.360925939575914,33.37829533888478,30.33836120017123,35.84152735113257,30.83157913249802,56.70821820502308,123.95773085825083,108.97665344228112,91.2696956115507,88.65356540722378,91.93655050195451,80.06998651606472,86.50988722944841,76.9055886682203,78.63800401010823,71.16584746702624,84.5697500485981,95.59229478318419,125.04304956293369,207.15634665045368,125.07569580588853,77.93774793352733,63.36062834965823
4,0.202,1,52.76601065997081,31.280485544263747,34.50948237436683,29.541863564685,37.03478358046997,35.450006266520454,56.179033728556064,125.53774011481346,103.45776126353667,93.74496819444754,90.02719222761866,96.93102403256795,86.05117494602372,82.40019624923997,92.61432253772271,82.52556594106204,77.38791058970753,95.6887607774643,225.77860727909976,132.74327194208038,139.8167311214361,118.98131148540533,96.29257723822882,71.5653253766966
0,0.155,2,45.14494696343455,43.47431282869887,37.04626043663051,32.91300550287413,29.79495405316907,33.90764613648818,63.80273442679651,120.62046500883731,100.89313799823023,81.35926142807422,83.1919461220632,86.84301311726462,81.81268163085653,82.98898948665118,74.19400744500983,64.25694339198509,57.000659106677176,67.8155793013453,217.2565009235126,151.1162019457681,144.70409270638038,139.433340165881,80.61971865675355,66.92217808677276
1,0.235,2,62.81749167395827,37.10954909840528,36.02178376803999,30.29668280704565,27.723726333042965,29.84826527158203,64.83465846957374,103.1885376064522,106.09647517570977,85.2612615753453,82.36573497378578,83.61717606931177,96.48078470786032,81.48317413639265,77.2811406485183,77.83998809716996,68.4274797291769,60.45943545037518,78.27574376722913,130.44374564848002,53.36327729742237,118.08757744505309,77.24972459648619,65.66389865638374
2,0.145,2,37.80648299209952,39.11621906657392,34.34024064994341,31.035216064428635,33.043343864841724,30.43211551335039,73.63932784063991,95.39507608288982,107.95560140044951,77.40112380876164,83.21937610294736,74.23086591472361,79.12227545099837,84.95886508974284,81.4580884765056,74.40775568176866,60.62486549370259,66.52121524813383,99.21987427232632,129.066318410855,135.88914681782433,88.74311590540721,194.31683583898086,70.52776906743262
3,0.264,2,41.652222376200676,45.482124656239094,36.34799232386132,33.88202042759815,27.598103017089308,33.90124180154951,60.87558206120301,109.27946116823055,98.23822213461649,85.50453078817142,84.57400237512006,80.17089908639751,87.25877354191208,79.29521347316354,72.97168194422846,66.35119372211513,61.37465962020388,66.72094053946803,67.63329603210732,190.1543887075248,185.38874715092805,137.79793193824193,75.59133891816128,63.10562724367476
4,0.201,2,57.5264789969177,40.03443769750853,35.77767154319695,36.12975857599341,30.91560844703351,30.08999656463491,66.16508087064825,105.73250109320128,94.58315066323073,83.85836575407984,84.90580521765501,93.03587341175098,82.7881077603369,79.09194639481204,98.38514338420187,64.34449713096899,55.0558573460917,67.25565139229106,91.25383629335968,51.33254759354554,172.83338532322716,145.06496832298444,80.42295078418712,64.82597313424313
